timestep,demand_kw,effective_demand_kw,battery_soc,battery_charged_kw,curtailed_energy_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
27,36.7105,36.7105,0.05,0.0,0.0,0.14258,0.0,0.135451,0.0,0.0,0.0,0.0,11.9491,0.121193,11.9491,11.9491,0.0,1.448147,24.7614,3.530478,4.978625,32.55,honest,honest
28,37.0856,37.0856,0.05,0.0,0.0,0.14257,0.0,0.114056,0.0,0.0,0.0,0.0,10.8319,0.121185,10.8319,10.8319,0.0,1.312664,26.2537,3.742985,5.055649,29.21,honest,honest
29,56.1362,56.1362,0.05,0.0,0.0,0.14071,0.111,0.119604,0.111,0.111,0.0,0.013276,10.4668,0.119604,10.4668,10.4668,0.0,1.251871,45.5584,6.410527,7.675674,18.84,honest,honest
30,96.0506,96.0506,0.05,0.0,0.0,0.16173,0.7482,0.13747,0.7482,0.7482,0.0,0.102855,14.5802,0.13747,14.5802,14.5802,0.0,2.00434,80.7222,13.055196,15.162391,15.96,honest,honest
31,112.099,112.099,0.05,0.0,0.0,0.16818,0.0,0.142953,0.0,0.0,0.0,0.0,12.9573,0.142953,12.9573,12.9573,0.0,1.852285,99.1417,16.673657,18.525942,11.56,honest,honest
32,104.1709,104.1709,0.05,0.0,0.0,0.20194,1.8246,0.171649,1.8246,1.8246,0.0,0.313191,15.4426,0.171649,15.4426,15.4426,0.0,2.650707,86.9037,17.549328,20.513226,16.58,honest,honest
33,85.4568,85.4568,0.05,0.0,0.0,0.20046,5.7905,0.170391,5.7905,5.7905,0.0,0.986649,17.784,0.170391,17.784,17.784,0.0,3.030234,61.8823,12.404922,16.421805,27.59,honest,honest
34,104.1878,104.1878,0.05,0.0,0.0,0.24116,9.2699,0.204986,9.2699,9.2699,0.0,1.9002,15.6899,0.204986,15.6899,15.6899,0.0,3.21621,79.228,19.106632,24.223042,23.96,honest,honest
35,106.1059,106.1059,0.05,0.0,0.0,0.23854,29.6841,0.202759,29.6841,29.6841,0.0,6.018718,15.4982,0.202759,15.4982,15.4982,0.0,3.1424,60.9236,14.532723,23.693841,42.58,honest,honest
36,104.3454,104.3454,0.05,0.0,0.0,0.23588,557.6935,0.200498,104.3454,104.3454,0.0,20.921044,16.8537,0.200498,0.0,0.0,0.0,0.0,0.0,0.0,20.921044,100.0,honest,honest
37,85.5532,85.5532,0.05,0.0,0.0,0.22646,571.1546,0.192491,85.5532,85.5532,0.0,16.468221,18.0571,0.192491,0.0,0.0,0.0,0.0,0.0,0.0,16.468221,100.0,honest,honest
38,85.5511,85.5511,0.05,0.0,0.0,0.16745,293.8724,0.142332,85.5511,85.5511,0.0,12.176659,20.9285,0.142332,0.0,0.0,0.0,0.0,0.0,0.0,12.176659,100.0,honest,honest
39,85.5133,85.5133,0.05,0.0,0.0,0.1753,47.6564,0.149005,47.6564,47.6564,0.0,7.101042,21.659,0.149005,21.659,21.659,0.0,3.227299,16.1979,2.839491,13.167833,81.06,honest,honest
40,109.3856,109.3856,0.05,0.0,0.0,0.18657,10.1302,0.158585,10.1302,10.1302,0.0,1.606498,25.1505,0.158585,25.1505,25.1505,0.0,3.988492,74.1049,13.825746,19.420735,32.25,honest,honest
41,114.7066,114.7066,0.05,0.0,0.0,0.1997,0.0,0.169745,0.0,0.0,0.0,0.0,28.7698,0.169745,28.7698,28.7698,0.0,4.88353,85.9368,17.161578,22.045108,25.08,honest,honest
42,114.7243,114.7243,0.05,0.0,0.0,0.2744,0.0457,0.23324,0.0457,0.0457,0.0,0.010659,26.9557,0.23324,26.9557,26.9557,0.0,6.287147,87.7229,24.071175,30.368981,23.54,honest,honest
43,96.3229,96.3229,0.05,0.0,0.0,0.27724,5.4004,0.235654,5.4004,5.4004,0.0,1.272626,35.1734,0.235654,35.1734,35.1734,0.0,8.288752,55.7491,15.455869,25.017247,42.12,honest,honest
44,96.2365,96.2365,0.05,0.0,0.0,0.27806,1.3232,0.236351,1.3232,1.3232,0.0,0.31274,38.6695,0.236351,38.6695,38.6695,0.0,9.139575,56.2438,15.639159,25.091473,41.56,honest,honest
45,96.0319,96.0319,0.05,0.0,0.0,0.27491,0.1595,0.233673,0.1595,0.1595,0.0,0.037271,42.8643,0.233673,42.8643,42.8643,0.0,10.01623,53.0081,14.572454,24.625954,44.8,honest,honest
46,95.7418,95.7418,0.05,0.0,0.0,0.2038,2.2437,0.17323,2.2437,2.2437,0.0,0.388676,49.5766,0.17323,49.5766,49.5766,0.0,8.588154,43.9215,8.951209,17.928039,54.13,honest,honest
47,97.7508,97.7508,0.05,0.0,0.0,0.19099,0.2668,0.162341,0.2668,0.2668,0.0,0.043313,61.328,0.162341,61.328,61.328,0.0,9.956049,36.156,6.905439,16.9048,63.01,honest,honest
48,55.8448,55.8448,0.05,0.0,0.0,0.15455,0.0,0.131367,0.0,0.0,0.0,0.0,63.032,0.131367,55.8448,55.8448,0.0,7.336164,0.0,0.0,7.336164,100.0,honest,honest
49,36.6055,36.6054,0.05,0.0,0.0,0.14134,0.0,0.134273,0.0,0.0,0.0,0.0,65.5087,0.120139,36.6054,36.6054,0.0,4.397736,0.0,6e-06,4.397742,100.0,honest,honest
50,36.6541,36.6541,0.05,0.0,0.0,0.13485,0.0,0.10788,0.0,0.0,0.0,0.0,75.1987,0.114622,36.6541,36.6541,0.0,4.201366,0.0,0.0,4.201366,100.0,honest,honest
51,36.6774,36.6774,0.05,0.0,0.0,0.13154,0.0,0.111809,0.0,0.0,0.0,0.0,79.8005,0.111809,36.6774,36.6774,0.0,4.100863,0.0,0.0,4.100863,100.0,honest,honest
52,38.3352,38.3352,0.05,0.0,0.0,0.12683,6.1344,0.120488,0.0,0.0,0.0,0.0,82.9464,0.107805,38.3352,38.3352,0.0,4.132726,0.0,0.0,4.132726,100.0,honest,honest
53,57.3996,57.3995,0.05,0.0,0.0,0.12922,0.0818,0.109837,0.0818,0.0818,0.0,0.008985,88.7355,0.109837,57.3177,57.3177,0.0,6.295604,0.0,6e-06,6.304595,100.0,honest,honest
54,96.5869,96.5869,0.05,0.0,0.0,0.13741,0.0,0.116798,0.0,0.0,0.0,0.0,88.2901,0.116798,88.2901,88.2901,0.0,10.312107,8.2968,1.140059,11.452166,91.41,honest,honest
55,112.0403,112.0403,0.05,0.0,0.0,0.15663,0.0,0.133135,0.0,0.0,0.0,0.0,85.9399,0.133135,85.9399,85.9399,0.0,11.441609,26.1004,4.088098,15.529707,76.7,honest,honest
56,104.1121,104.1121,0.05,0.0,0.0,0.1936,8.0371,0.16456,8.0371,8.0371,0.0,1.322585,89.9746,0.16456,89.9746,89.9746,0.0,14.80622,6.1004,1.181045,17.309851,94.14,honest,honest
57,85.3941,85.3941,0.05,0.0,0.0,0.19066,9.6685,0.162061,9.6685,9.6685,0.0,1.566887,91.8266,0.162061,75.7256,75.7256,0.0,12.272166,0.0,6e-06,13.839059,100.0,honest,honest
58,104.119,104.119,0.05,0.0,0.0,0.25138,29.2486,0.213673,29.2486,29.2486,0.0,6.249636,92.4349,0.213673,74.8704,74.8704,0.0,15.997783,0.0,7e-06,22.247427,100.0,honest,honest
59,106.0488,106.0488,0.05,0.0,0.0,0.24031,130.4508,0.204263,106.0488,106.0488,0.0,21.661846,92.3668,0.204263,0.0,0.0,0.0,0.0,0.0,1.2e-05,21.661858,100.0,honest,honest
60,104.2497,104.2497,0.05,0.0,0.0,0.22716,162.7836,0.193086,104.2497,104.2497,0.0,20.129158,92.1491,0.193086,0.0,0.0,0.0,0.0,0.0,0.0,20.129158,100.0,honest,honest
61,85.4381,85.4381,0.05,0.0,0.0,0.21851,207.1553,0.185733,85.4381,85.4381,0.0,15.868675,91.462,0.185733,0.0,0.0,0.0,0.0,0.0,0.0,15.868675,100.0,honest,honest
