timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct
430,38.2746,0.17392,0.0095,0.139136,0.0095,0.0073,0.0022,0.001016,22.6601,0.147832,22.6601,22.6601,0.0,3.349888,15.6072,2.714404,6.065308,59.22
431,39.085,0.16962,0.0,0.144177,0.0,0.0,0.0,0.0,17.1133,0.144177,17.1133,17.1133,0.0,2.467344,21.9717,3.726831,6.194176,43.78
432,22.3229,0.16408,0.0,0.155876,0.0,0.0,0.0,0.0,12.5769,0.131264,12.5769,9.6746,2.9023,1.269927,12.6483,2.075341,3.345268,43.34
433,14.6076,0.15797,0.0,0.126376,0.0,0.0,0.0,0.0,10.5518,0.126376,10.5518,8.1167,2.4351,1.025756,6.4909,1.025368,2.051124,55.56
434,14.6218,0.15737,0.0,0.133765,0.0,0.0,0.0,0.0,7.5142,0.149502,7.5142,7.5142,0.0,1.123388,7.1076,1.118519,2.241907,51.39
435,14.6343,0.15631,0.0,0.148495,0.0,0.0,0.0,0.0,8.6914,0.148495,8.6914,8.6914,0.0,1.290629,5.9429,0.928934,2.219563,59.39
436,14.785,0.15547,0.0,0.124376,0.0,0.0,0.0,0.0,8.7549,0.147696,8.7549,8.7549,0.0,1.293064,6.0301,0.937498,2.230562,59.21
437,22.4279,0.15488,0.0,0.131648,0.0,0.0,0.0,0.0,9.4857,0.147136,9.4857,9.4857,0.0,1.395688,12.9422,2.004488,3.400176,42.29
438,38.3937,0.15568,0.0,0.147896,0.0,0.0,0.0,0.0,20.855,0.132328,20.855,20.855,0.0,2.7597,17.5387,2.730431,5.490132,54.32
439,44.8046,0.15604,0.0,0.124832,0.0,0.0,0.0,0.0,14.528,0.132634,14.528,14.528,0.0,1.926907,30.2766,4.72436,6.651266,32.43
440,41.6341,0.15257,0.4928,0.129685,0.4928,0.4928,0.0,0.063909,21.7068,0.129685,21.7068,21.7068,0.0,2.815046,19.4345,2.965123,5.844078,53.32
441,34.1463,0.15897,0.2485,0.151022,0.2485,0.2485,0.0,0.037529,24.9581,0.151022,24.9581,24.9581,0.0,3.769222,8.9397,1.421137,5.227889,73.82
442,41.6366,0.12781,2.0545,0.102248,2.0545,1.5804,0.4741,0.161593,17.1838,0.108638,17.1838,17.1838,0.0,1.866814,22.8724,2.923323,4.951729,45.07
443,42.4079,0.12672,188.5475,0.107712,42.4079,42.4079,0.0,4.56784,21.2898,0.107712,0.0,0.0,0.0,0.0,0.0,1e-06,4.567841,100.0
444,41.6854,0.12212,536.6648,0.103802,41.6854,41.6854,0.0,4.327028,18.5964,0.103802,0.0,0.0,0.0,0.0,0.0,4e-06,4.327032,100.0
445,34.1627,0.12648,546.4794,0.107508,34.1627,34.1627,0.0,3.672764,14.8214,0.107508,0.0,0.0,0.0,0.0,0.0,6e-06,3.67277,100.0
446,34.1649,0.1262,208.6175,0.10727,34.1649,34.1649,0.0,3.664869,13.861,0.10727,0.0,0.0,0.0,0.0,0.0,0.0,3.664869,100.0
447,34.1533,0.13054,88.027,0.110959,34.1533,34.1533,0.0,3.789616,12.5032,0.110959,0.0,0.0,0.0,0.0,0.0,4e-06,3.78962,100.0
448,42.639,0.1419,2.5656,0.120615,2.5656,2.5656,0.0,0.30945,10.4998,0.120615,10.4998,10.4998,0.0,1.266433,29.5736,4.196491,5.772374,30.64
449,45.8225,0.16833,0.9917,0.159913,0.9917,0.9917,0.0,0.158586,11.383,0.134664,11.383,8.7561,2.6269,1.179131,36.0747,6.072461,7.410179,21.27
450,45.83,0.19025,0.0,0.1522,0.0,0.0,0.0,0.0,21.8325,0.161713,21.8325,21.8325,0.0,3.530599,23.9975,4.565526,8.096125,47.64
451,38.4736,0.18632,2.9927,0.177004,2.9927,2.9927,0.0,0.52972,14.7253,0.158372,14.7253,14.7253,0.0,2.332075,20.7556,3.867177,6.728972,46.05
452,38.4557,0.17958,5.1247,0.152643,5.1247,5.1247,0.0,0.78225,13.7078,0.152643,13.7078,13.7078,0.0,2.0924,19.6232,3.523941,6.39859,48.97
453,38.3871,0.18133,0.3647,0.145064,0.3647,0.2806,0.0841,0.040705,16.4051,0.15413,16.4051,16.4051,0.0,2.528518,21.7014,3.935111,6.504334,43.47
454,38.279,0.16766,0.2612,0.159277,0.2612,0.2612,0.0,0.041603,16.3935,0.142511,16.3935,16.3935,0.0,2.336254,21.6243,3.625524,6.003381,43.51
455,39.0892,0.15056,0.2422,0.127976,0.2422,0.2422,0.0,0.030996,18.9551,0.127976,18.9551,18.9551,0.0,2.425798,19.8919,2.994926,5.45172,49.11
456,22.3289,0.14266,0.0058,0.135527,0.0058,0.0058,0.0,0.000786,19.6547,0.135527,19.6547,19.6547,0.0,2.663743,2.6684,0.380668,3.045197,88.05
457,14.6178,0.14092,0.0,0.112736,0.0,0.0,0.0,0.0,16.5781,0.133874,14.6178,14.6178,0.0,1.956943,0.0,2e-06,1.956945,100.0
458,14.6342,0.13962,0.0,0.132639,0.0,0.0,0.0,0.0,8.9137,0.132639,8.9137,8.9137,0.0,1.182304,5.7205,0.798698,1.981002,60.91
459,14.6476,0.13763,0.0,0.116985,0.0,0.0,0.0,0.0,9.6932,0.130748,9.6932,9.6932,0.0,1.267367,4.9544,0.681872,1.949238,66.18
460,15.315,0.13822,0.0,0.110576,0.0,0.0,0.0,0.0,8.5623,0.131309,8.5623,8.5623,0.0,1.124307,6.7527,0.933361,2.057668,55.91
461,22.9516,0.13791,0.0,0.131015,0.0,0.0,0.0,0.0,18.264,0.131015,18.264,18.264,0.0,2.392858,4.6876,0.646473,3.039331,79.58
462,38.6291,0.16153,0.5961,0.129224,0.5961,0.4585,0.1376,0.059249,24.2527,0.1373,24.2527,24.2527,0.0,3.329896,13.9179,2.248158,5.637303,63.97
463,44.8113,0.17423,0.7241,0.165518,0.7241,0.7241,0.0,0.119852,20.8377,0.148095,20.8377,20.8377,0.0,3.085959,23.2495,4.050767,7.256578,48.12
464,41.6395,0.20038,4.2507,0.170323,4.2507,4.2507,0.0,0.723992,29.8189,0.170323,29.8189,29.8189,0.0,5.078845,7.5699,1.516857,7.319694,81.82
465,34.1532,0.19994,8.3244,0.169949,8.3244,8.3244,0.0,1.414723,28.9892,0.169949,25.8288,25.8288,0.0,4.389579,0.0,6e-06,5.804308,100.0
466,41.6447,0.26348,2.7672,0.250306,2.7672,2.7672,0.0,0.692647,23.7704,0.223958,23.7704,23.7704,0.0,5.323571,15.1071,3.98042,9.996638,63.72
467,42.4177,0.26861,270.8101,0.214888,42.4177,42.4177,0.0,9.115055,21.6013,0.228319,0.0,0.0,0.0,0.0,0.0,1.2e-05,9.115066,100.0
468,41.699,0.26482,1585.6912,0.211856,41.699,41.699,0.0,8.834183,24.4454,0.225097,0.0,0.0,0.0,0.0,0.0,0.0,8.834183,100.0
469,34.1726,0.26273,1439.8139,0.210184,34.1726,34.1726,0.0,7.182534,21.4422,0.223321,0.0,0.0,0.0,0.0,0.0,0.0,7.182534,100.0
470,34.1723,0.19808,599.4546,0.168368,34.1723,34.1723,0.0,5.753522,23.6195,0.188176,0.0,0.0,0.0,0.0,0.0,0.0,5.753522,100.0
471,34.1597,0.19987,375.6789,0.169889,34.1597,34.1597,0.0,5.803357,23.3854,0.169889,0.0,0.0,0.0,0.0,0.0,0.0,5.803357,100.0
472,42.6487,0.19851,47.239,0.168733,42.6487,42.6487,0.0,7.196243,21.4055,0.168733,0.0,0.0,0.0,0.0,0.0,2e-06,7.196245,100.0
473,45.8312,0.19769,0.0,0.168037,0.0,0.0,0.0,0.0,24.8702,0.168037,24.8702,24.8702,0.0,4.179114,20.961,4.143776,8.32289,54.26
474,45.8412,0.26691,0.0978,0.213528,0.0978,0.0753,0.0225,0.016079,26.6272,0.253564,26.6272,26.6272,0.0,6.751699,19.1387,5.108302,11.87608,58.25
475,38.3402,0.27185,6.4283,0.21748,6.4283,4.9448,1.4835,1.075395,31.3437,0.231072,31.3437,31.3437,0.0,7.242651,2.0517,0.557743,8.875789,94.65
476,38.3315,0.28033,0.1267,0.238281,0.1267,0.1267,0.0,0.03019,35.0749,0.238281,35.0749,35.0749,0.0,8.357682,3.1299,0.877398,9.26527,91.83
477,38.2922,0.28675,0.1696,0.272413,0.1696,0.1696,0.0,0.046201,18.5244,0.243737,18.5244,18.5244,0.0,4.515082,19.5982,5.619792,10.181075,48.82
478,38.2857,0.20253,0.0425,0.17215,0.0425,0.0425,0.0,0.007316,15.5176,0.17215,15.5176,15.5176,0.0,2.671355,22.7256,4.602607,7.281279,40.64
479,39.0955,0.18695,0.0,0.158908,0.0,0.0,0.0,0.0,16.5816,0.158908,16.5816,16.5816,0.0,2.634949,22.5139,4.208972,6.843921,42.41
