timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
28,14.8342,0.14257,0.0,0.114056,0.0,0.0,0.0,0.0,7.5823,0.135441,7.5823,7.5823,0.0,1.026954,7.2519,1.033907,2.060861,51.11,honest,honest
29,22.4545,0.14071,0.111,0.119604,0.111,0.111,0.0,0.013276,7.3268,0.133675,7.3268,7.3268,0.0,0.97941,15.0167,2.112999,3.105685,33.12,honest,honest
30,38.4202,0.16173,0.7482,0.13747,0.7482,0.7482,0.0,0.102855,18.9543,0.129384,18.9543,14.5802,4.3741,1.886445,23.0918,3.734641,5.723941,39.9,honest,honest
31,44.8396,0.16818,0.0,0.142953,0.0,0.0,0.0,0.0,16.8445,0.134544,16.8445,12.9573,3.8872,1.743327,31.8823,5.361968,7.105295,28.9,honest,honest
32,41.6683,0.20194,1.2772,0.191843,1.2772,1.2772,0.0,0.245022,15.4426,0.171649,15.4426,15.4426,0.0,2.650707,24.9485,5.03811,7.933839,40.13,honest,honest
33,34.1827,0.20046,4.0534,0.190437,4.0534,4.0534,0.0,0.771917,17.784,0.170391,17.784,17.784,0.0,3.030234,12.3453,2.474741,6.276892,63.88,honest,honest
34,41.6751,0.24116,12.0508,0.192928,12.0508,9.2699,2.7809,1.788423,15.6899,0.204986,15.6899,15.6899,0.0,3.21621,16.7153,4.03107,9.035703,59.89,honest,honest
35,42.4424,0.23854,20.7789,0.226613,20.7789,20.7789,0.0,4.708769,15.4982,0.202759,15.4982,15.4982,0.0,3.1424,6.1653,1.470664,9.321832,85.47,honest,honest
36,41.7381,0.23588,725.0015,0.188704,41.7381,41.7381,0.0,7.876146,16.8537,0.200498,0.0,0.0,0.0,0.0,0.0,1.1e-05,7.876158,100.0,honest,honest
37,34.2213,0.22646,742.501,0.181168,34.2213,34.2213,0.0,6.199804,18.0571,0.192491,0.0,0.0,0.0,0.0,0.0,0.0,6.199804,100.0,honest,honest
38,34.2204,0.16745,293.8724,0.142332,7.0133,7.0133,0.0,0.998217,27.2071,0.13396,27.2071,20.9285,6.2786,2.803582,6.2786,1.051359,4.853158,81.65,honest,honest
