id;name;geoid;geoname;value;datetime
1159;Generación medida Eólica terrestre;;;2980.839;2025-01-01T00:00:00+01:00
1159;Generación medida Eólica terrestre;;;3280.532;2025-01-01T01:00:00+01:00
1159;Generación medida Eólica terrestre;;;3439.672;2025-01-01T02:00:00+01:00
1159;Generación medida Eólica terrestre;;;3493.408;2025-01-01T03:00:00+01:00
1159;Generación medida Eólica terrestre;;;3712.37;2025-01-01T04:00:00+01:00
1159;Generación medida Eólica terrestre;;;3921.891;2025-01-01T05:00:00+01:00
1159;Generación medida Eólica terrestre;;;3905.711;2025-01-01T06:00:00+01:00
1159;Generación medida Eólica terrestre;;;3897.105;2025-01-01T07:00:00+01:00
1159;Generación medida Eólica terrestre;;;4047.719;2025-01-01T08:00:00+01:00
1159;Generación medida Eólica terrestre;;;3786.246;2025-01-01T09:00:00+01:00
1159;Generación medida Eólica terrestre;;;3535.243;2025-01-01T10:00:00+01:00
1159;Generación medida Eólica terrestre;;;3461.804;2025-01-01T11:00:00+01:00
1159;Generación medida Eólica terrestre;;;3435.042;2025-01-01T12:00:00+01:00
1159;Generación medida Eólica terrestre;;;3702.186;2025-01-01T13:00:00+01:00
1159;Generación medida Eólica terrestre;;;3795.352;2025-01-01T14:00:00+01:00
1159;Generación medida Eólica terrestre;;;3787.923;2025-01-01T15:00:00+01:00
1159;Generación medida Eólica terrestre;;;3784.541;2025-01-01T16:00:00+01:00
1159;Generación medida Eólica terrestre;;;3869.615;2025-01-01T17:00:00+01:00
1159;Generación medida Eólica terrestre;;;4328.82;2025-01-01T18:00:00+01:00
1159;Generación medida Eólica terrestre;;;4778.869;2025-01-01T19:00:00+01:00
1159;Generación medida Eólica terrestre;;;4937.843;2025-01-01T20:00:00+01:00
1159;Generación medida Eólica terrestre;;;5102.448;2025-01-01T21:00:00+01:00
1159;Generación medida Eólica terrestre;;;5158.717;2025-01-01T22:00:00+01:00
1159;Generación medida Eólica terrestre;;;5283.914;2025-01-01T23:00:00+01:00
1159;Generación medida Eólica terrestre;;;5373.559;2025-01-02T00:00:00+01:00
1159;Generación medida Eólica terrestre;;;5494.464;2025-01-02T01:00:00+01:00
1159;Generación medida Eólica terrestre;;;5619.306;2025-01-02T02:00:00+01:00
1159;Generación medida Eólica terrestre;;;5812.692;2025-01-02T03:00:00+01:00
1159;Generación medida Eólica terrestre;;;5781.892;2025-01-02T04:00:00+01:00
1159;Generación medida Eólica terrestre;;;5988.272;2025-01-02T05:00:00+01:00
1159;Generación medida Eólica terrestre;;;6137.051;2025-01-02T06:00:00+01:00
1159;Generación medida Eólica terrestre;;;6235.755;2025-01-02T07:00:00+01:00
1159;Generación medida Eólica terrestre;;;6283.976;2025-01-02T08:00:00+01:00
1159;Generación medida Eólica terrestre;;;6093.921;2025-01-02T09:00:00+01:00
1159;Generación medida Eólica terrestre;;;5652.529;2025-01-02T10:00:00+01:00
1159;Generación medida Eólica terrestre;;;5719.571;2025-01-02T11:00:00+01:00
1159;Generación medida Eólica terrestre;;;6115.105;2025-01-02T12:00:00+01:00
1159;Generación medida Eólica terrestre;;;6794.787;2025-01-02T13:00:00+01:00
